player_name,team,salary_2025_26,salary_2026_27,salary_2027_28,salary_2028_29,salary_2029_30,salary_2030_31,guaranteed
Jalen Brunson,NYK,34944001.0,37739521.0,40535041.0,43330561.0,,,113218563.0
Alperen Şengün,HOU,33944954.0,35642202.0,37339450.0,39036697.0,39036697.0,,145963303.0
Jalen Green,PHO,33584499.0,36251166.0,36000000.0,,,,69835665.0
Khris Middleton,DAL,33296296.0,,,,,,33296296.0
Immanuel Quickley,TOR,32500000.0,32500000.0,32500000.0,32500000.0,,,130000000.0
Jrue Holiday,POR,32400000.0,34800000.0,37200000.0,,,,67200000.0
Jerami Grant,POR,32000001.0,34206898.0,36413790.0,,,,66206899.0
Jordan Poole,NOP,31848215.0,34044642.0,,,,,65892857.0
Tyler Herro,MIA,31000000.0,33000000.0,,,,,64000000.0
Julius Randle,MIN,30864198.0,33333334.0,35802468.0,,,,64197532.0
Dejounte Murray,NOP,30801103.0,32785071.0,30751504.0,,,,63586174.0
Kristaps Porziņģis,GSW,30731707.0,,,,,,30731707.0
CJ McCollum,ATL,30666666.0,,,,,,30666666.0
Jalen Johnson,ATL,30000000.0,30000000.0,30000000.0,30000000.0,30000000.0,,150000000.0
Isaiah Hartenstein,OKC,28500000.0,28500000.0,,,,,28500000.0
Andrew Wiggins,MIA,28223215.0,30169644.0,,,,,28223215.0
Derrick White,BOS,28100000.0,30348000.0,32596000.0,34844000.0,,,91044000.0
RJ Barrett,TOR,27705357.0,29616071.0,,,,,57321428.0
Anfernee Simons,CHI,27678571.0,,,,,,27678571.0
Devin Vassell,SAS,27000000.0,27000000.0,24652174.0,27000000.0,,,105652174.0
Terry Rozier,MIA,26643031.0,,,,,,26643031.0
Tobias Harris,DET,26634146.0,,,,,,26634146.0
John Collins,LAC,26580000.0,,,,,,26580000.0
Draymond Green,GSW,25892857.0,27678571.0,,,,,53571428.0
Deandre Ayton,POR,33654814.0,8104000.0,,,,,25550814.0
Nic Claxton,BRK,25352272.0,23147727.0,20943184.0,,,,69443183.0
Myles Turner,MIL,25318251.0,26584164.0,27850077.0,29115990.0,,,79752492.0
Trey Murphy III,NOP,25000000.0,27000000.0,29000000.0,31000000.0,,,112000000.0
Josh Giddey,CHI,25000000.0,25000000.0,25000000.0,25000000.0,,,100000000.0
Miles Bridges,CHO,25000000.0,22826087.0,,,,,47826087.0
Fred VanVleet,HOU,25000000.0,25000000.0,,,,,25000000.0
Mikal Bridges,NYK,24900000.0,33482145.0,36160714.0,38839285.0,41517856.0,,133382144.0
DeMar DeRozan,SAC,24570000.0,25740000.0,,,,,24570000.0
Jaden McDaniels,MIN,24393104.0,26200001.0,28006898.0,29813790.0,,,108413793.0
