player_name,team_abbrev,salary_2025_26,total_guaranteed,AGE,GP,TS_PCT,PIE,USG_PCT,PTS,REB,AST,team_wins,team_win_pct
Trendon Watford,PHI,2461463.0,2461463.0,24.0,44,0.557,0.101,0.226,10.2,3.6,2.6,24,0.293
Jericho Sims,MIL,2461463.0,2461463.0,26.0,53,0.639,0.07,0.074,1.8,3.7,0.6,48,0.585
Dru Smith,MIA,2378870.0,2378870.0,27.0,14,0.656,0.082,0.131,6.2,2.6,1.6,37,0.451
Justin Champagnie,WAS,2349578.0,5017522.0,24.0,62,0.614,0.101,0.15,8.8,5.7,1.0,18,0.22
Jay Huff,IND,2349578.0,2349578.0,27.0,64,0.666,0.108,0.194,6.9,2.0,0.6,50,0.61
Vít Krejčí,POR,2349578.0,,25.0,57,0.661,0.086,0.131,7.2,2.7,2.6,36,0.439
Neemias Queta,BOS,2349578.0,,25.0,62,0.674,0.102,0.136,5.0,3.8,0.7,61,0.744
A.J. Green,MIL,2301587.0,47301587.0,25.0,73,0.621,0.058,0.123,7.4,2.4,1.5,48,0.585
Vince Williams Jr.,UTA,2301587.0,2301587.0,24.0,27,0.504,0.065,0.166,6.6,3.6,2.0,17,0.207
Keon Ellis,CLE,2301587.0,2301587.0,25.0,80,0.664,0.073,0.125,8.3,2.7,1.5,64,0.78
Danté Exum,WAS,2296274.0,2296274.0,29.0,20,0.589,0.083,0.193,8.7,1.7,2.8,18,0.22
Chris Boucher,UTA,2296274.0,2296274.0,32.0,50,0.615,0.126,0.208,10.0,4.5,0.7,17,0.207
Chris Paul,TOR,2296274.0,2296274.0,40.0,82,0.58,0.102,0.137,8.8,3.6,7.4,30,0.366
Bismack Biyombo,SAS,2296274.0,2296274.0,32.0,28,0.576,0.08,0.124,5.1,5.6,1.1,34,0.415
Lindy Waters III,SAS,2296274.0,2296274.0,27.0,52,0.504,0.061,0.145,4.9,2.1,1.0,34,0.415
Russell Westbrook,SAC,2296274.0,2296274.0,36.0,75,0.532,0.093,0.23,13.3,4.9,6.1,40,0.488
Drew Eubanks,SAC,2296274.0,2296274.0,28.0,61,0.622,0.111,0.149,4.6,3.7,0.9,40,0.488
Blake Wesley,POR,5643732.0,2296274.0,22.0,58,0.51,0.066,0.165,3.7,1.1,2.0,36,0.439
Kyle Lowry,PHI,2296274.0,2296274.0,39.0,35,0.525,0.067,0.1,3.9,1.9,2.7,24,0.293
Mason Plumlee,OKC,3022108.0,2296274.0,35.0,74,0.645,0.098,0.105,4.5,6.1,1.8,68,0.829
Landry Shamet,NYK,2296274.0,2296274.0,28.0,50,0.601,0.062,0.143,5.7,1.2,0.5,51,0.622
Jordan Clarkson,NYK,12947835.0,2296274.0,33.0,37,0.54,0.102,0.269,16.2,3.2,3.7,51,0.622
Eric Gordon,MEM,2296274.0,2296274.0,36.0,39,0.591,0.067,0.14,6.8,1.2,1.7,48,0.585
Josh Okogie,HOU,2296274.0,2296274.0,26.0,40,0.567,0.1,0.185,7.1,2.8,0.8,52,0.634
Jeff Green,HOU,2296274.0,2296274.0,38.0,32,0.649,0.085,0.144,5.4,1.8,0.6,52,0.634
Aaron Holiday,HOU,2296274.0,2296274.0,28.0,62,0.594,0.082,0.162,5.5,1.3,1.3,52,0.634
Jae'Sean Tate,HOU,2296274.0,2296274.0,29.0,52,0.557,0.071,0.126,3.6,2.3,0.9,52,0.634
Gary Payton II,GSW,2296274.0,2296274.0,32.0,62,0.635,0.104,0.156,6.5,3.0,1.3,48,0.585
Javonte Green,DET,2296274.0,2296274.0,31.0,68,0.541,0.064,0.113,5.1,3.2,0.8,44,0.537
Tim Hardaway Jr.,DEN,2296274.0,2296274.0,33.0,77,0.567,0.066,0.151,11.0,2.4,1.6,50,0.61
Bruce Brown,DEN,2296274.0,2296274.0,28.0,41,0.504,0.078,0.169,8.3,4.0,2.0,50,0.61
Thomas Bryant,CLE,2296274.0,2296274.0,27.0,66,0.614,0.11,0.162,6.5,3.8,0.8,64,0.78
Larry Nance Jr.,CLE,2296274.0,2296274.0,32.0,24,0.632,0.106,0.155,8.5,4.3,1.6,64,0.78
Keaton Wallace,ATL,2296274.0,2296274.0,26.0,31,0.503,0.074,0.164,5.4,1.6,2.6,40,0.488
Jock Landale,ATL,2296274.0,2296274.0,29.0,42,0.59,0.097,0.148,4.8,3.3,0.9,40,0.488
Scotty Pippen Jr.,MEM,2270735.0,2270735.0,24.0,79,0.582,0.106,0.188,9.9,3.3,4.4,48,0.585
Brandon Williams,DAL,2270735.0,,25.0,33,0.634,0.119,0.218,8.3,1.8,2.3,39,0.476
DeAndre Jordan,NOP,2269880.0,2269880.0,36.0,56,0.621,0.115,0.126,3.7,5.1,0.9,21,0.256
Toumani Camara,POR,2221677.0,83221677.0,25.0,78,0.572,0.076,0.143,11.3,5.8,2.2,36,0.439
Julian Phillips,MIN,2221677.0,2221677.0,21.0,79,0.571,0.055,0.126,4.6,2.1,0.5,49,0.598
Gui Santos,GSW,2221677.0,2221677.0,23.0,56,0.575,0.073,0.126,4.1,3.1,1.4,48,0.585
Jalen Pickett,DEN,2221677.0,2221677.0,25.0,49,0.545,0.078,0.13,4.1,1.4,2.2,50,0.61
Trayce Jackson-Davis,TOR,2221677.0,,25.0,62,0.587,0.12,0.164,6.6,5.0,1.7,30,0.366
Andre Jackson Jr.,MIL,2221677.0,,23.0,67,0.554,0.051,0.115,3.4,2.7,1.2,48,0.585
Craig Porter Jr.,CLE,2221677.0,,25.0,51,0.61,0.091,0.155,3.7,1.3,1.4,64,0.78
Duop Reath,ATL,2221677.0,,29.0,46,0.552,0.077,0.162,4.2,2.0,0.6,40,0.488
Mouhamed Gueye,ATL,2221677.0,,22.0,33,0.52,0.085,0.155,6.0,4.2,0.8,40,0.488
Jaylen Clark,MIN,2191897.0,2191897.0,23.0,40,0.598,0.057,0.115,4.1,1.3,0.7,49,0.598
Precious Achiuwa,SAC,2111516.0,2111516.0,25.0,57,0.53,0.092,0.143,6.6,5.6,1.0,40,0.488
Justin Edwards,PHI,2048494.0,4459584.0,21.0,44,0.559,0.062,0.165,10.1,3.4,1.6,24,0.293
N'Faly Dante,ATL,2048494.0,,23.0,4,0.789,0.125,0.133,6.0,5.3,0.5,40,0.488
Jonathan Mogbo,TOR,1955377.0,1955377.0,23.0,63,0.496,0.083,0.145,6.2,4.9,2.3,30,0.366
Jamal Shead,TOR,1955377.0,1955377.0,22.0,75,0.499,0.07,0.179,7.1,1.5,4.2,30,0.366
Karlo Matković,NOP,1955377.0,1955377.0,24.0,42,0.639,0.096,0.155,7.7,5.0,1.1,21,0.256
Jaylen Wells,MEM,1955377.0,1955377.0,21.0,79,0.56,0.065,0.156,10.4,3.4,1.7,48,0.585
Quinten Post,GSW,1955377.0,1955377.0,25.0,42,0.595,0.095,0.197,8.1,3.5,1.3,48,0.585
Jamison Battle,TOR,1955377.0,,24.0,59,0.59,0.072,0.147,7.1,2.7,0.9,30,0.366
Adem Bona,PHI,1955377.0,,22.0,58,0.714,0.093,0.135,5.8,4.2,0.5,24,0.293
Pelle Larsson,MIA,1955377.0,,24.0,55,0.546,0.055,0.141,4.6,1.7,1.2,37,0.451
Seth Curry,GSW,1755198.0,1755198.0,34.0,68,0.616,0.083,0.151,6.5,1.7,0.9,48,0.585
Micah Potter,IND,1527805.0,1527805.0,27.0,38,0.563,0.063,0.102,4.3,4.3,0.8,50,0.61
Olivier-Maxence Prosper,DAL,1002360.0,3007080.0,22.0,52,0.484,0.082,0.158,3.9,2.4,0.8,39,0.476
Kobe Bufkin,LAL,5480297.0,3474389.0,21.0,10,0.483,0.086,0.203,5.3,2.1,1.7,50,0.61
Cam Thomas,MIL,6837779.0,844607.0,23.0,25,0.575,0.122,0.328,24.0,3.3,3.8,48,0.585
Jeremy Sochan,NYK,7874853.0,778622.0,22.0,54,0.589,0.101,0.184,11.4,6.5,2.4,51,0.622
Mike Conley,MIN,11499872.0,725834.0,37.0,71,0.573,0.092,0.141,8.2,2.6,4.5,49,0.598
Jabari Walker,PHI,724598.0,724598.0,22.0,60,0.601,0.107,0.156,5.2,3.5,0.6,24,0.293
Nae'Qwan Tomlin,CLE,718150.0,3129240.0,24.0,5,0.489,0.096,0.23,7.2,4.2,0.4,64,0.78
Cameron Payne,PHI,712637.0,712637.0,30.0,72,0.532,0.089,0.2,6.9,1.4,2.8,24,0.293
Caleb Houstan,ATL,699440.0,699440.0,22.0,58,0.605,0.061,0.115,4.1,1.3,0.6,40,0.488
Vasilije Micić,MIL,666667.0,2000001.0,31.0,41,0.462,0.061,0.199,6.6,2.2,3.1,48,0.585
Mason Plumlee,SAS,3022108.0,725834.0,35.0,74,0.645,0.098,0.105,4.5,6.1,1.8,34,0.415
Jeremiah Robinson-Earl,IND,131970.0,589305.0,24.0,66,0.563,0.087,0.14,6.3,4.8,1.3,50,0.61
Monte Morris,IND,321184.0,321184.0,30.0,45,0.546,0.096,0.173,5.2,1.5,1.6,50,0.61
Garrison Mathews,IND,429325.0,561295.0,28.0,47,0.606,0.068,0.153,7.5,1.9,1.3,50,0.61
